index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
53626,,,,,,,,,,"Nishikata, Yasuto:Director","Kubo, Souichirou:Sound Director","Penkin, Kevin:Music","Yoshino, Hiroyuki:Series Composition","Bye-Bye, Earth",N/A,#8296,"5,214",0,0,0,"['Nishikata, Yasuto', 'Director'], ['Kubo, Souichirou', 'Sound Director'], ['Penkin, Kevin', 'Music'], ['Yoshino, Hiroyuki', 'Series Composition']","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Studios, 
LIDENFILMS","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Theme, 
AnthropomorphicAnthropomorphic","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8296",Adaptation:: /manga/58175/Bye-Bye_Earth
57380,,,,,,,,,,"Nigorikawa, Atsushi:Director","Morishita, Hiroto:Sound Director",Gohobi:Theme Song Performance,"Maekawa, Atsushi:Series Composition",Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,N/A,#8358,"5,103",0,0,0,"['Nigorikawa, Atsushi', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Gohobi', 'Theme Song Performance'], ['Maekawa, Atsushi', 'Series Composition']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Genco,       Ai Addiction Inc.,       Three S Studio","Licensors, 
    None found, add some","Studios, 
EMT Squared","Source, 
  Light novel","Genres, 
FantasyFantasy,         Slice of LifeSlice of Life","Themes, 
ChildcareChildcare,         IsekaiIsekai","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/109565/Isekai_Yururi_Kikou__Kosodateshinagara_Boukensha_Shimasu
58272,,,,,,,,,,"Yoshimura, Fumihiro:Director","Hirota, Mitsutaka:Series Composition","Sugiura, Jiro:Original Creator","Ukulele, Zenjirou:Character Design",Boku no Tsuma wa Kanjou ga Nai,N/A,#8443,"4,980",0,0,0,"['Yoshimura, Fumihiro', 'Director'], ['Hirota, Mitsutaka', 'Series Composition'], ['Sugiura, Jiro', 'Original Creator'], ['Ukulele, Zenjirou', 'Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Tezuka Productions","Source, 
  Manga","Genres, 
ComedyComedy,         RomanceRomance,         Sci-FiSci-Fi","Demographic, 
SeinenSeinen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/128356/Boku_no_Tsuma_wa_Kanjou_ga_Nai
57845,,,,,,,,,,Synecdoche:Original Creator,,,,Elf-san wa Yaserarenai.,N/A,#8598,"4,734",0,0,0,"['Synecdoche', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Web manga","Genres, 
ComedyComedy,         FantasyFantasy,         EcchiEcchi","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/103314/Elf-san_wa_Yaserarenai
54913,,,,,,,,,,"Katagai, Shin:Director","Kameyama, Toshiki:Sound Director","Ogino, Ken:Original Character Design","Kishima, Kiraku:Original Creator","Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",N/A,#8923,"4,230",0,0,0,"['Katagai, Shin', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Ogino, Ken', 'Original Character Design'], ['Kishima, Kiraku', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Yumeta Company","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8923",Adaptation:: /manga/144724/Shinmai_Ossan_Boukensha_Saikyou_Party_ni_Shinu_hodo_Kitaerarete_Muteki_ni_Naru
57646,,,,,,,,,,"Kobayashi, Tomoki:Director","Inai, Keiji:Music","Fudeyasu, Kazuyuki:Series Composition","Yasuda, Shouko:Character Design",Mob kara Hajimaru Tansaku Eiyuutan,N/A,#9111,"3,943",0,0,0,"['Kobayashi, Tomoki', 'Director'], ['Inai, Keiji', 'Music'], ['Fudeyasu, Kazuyuki', 'Series Composition'], ['Yasuda, Shouko', 'Character Design']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Starry Cube","Licensors, 
    None found, add some","Studios, 
Gekkou","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/165552/Mob_kara_Hajimaru_Tansaku_Eiyuutan
57058,,,,,,,,,,"Fukuyama, Hiroshi:Director","Murakoshi, Shigeru:Series Composition","Noma, Chikako:Character Design","Saiki, Tatsuhiko:Music","Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",N/A,#9179,"3,856",0,0,0,"['Fukuyama, Hiroshi', 'Director'], ['Murakoshi, Shigeru', 'Series Composition'], ['Noma, Chikako', 'Character Design'], ['Saiki, Tatsuhiko', 'Music']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
OLM","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/153622/Ore_wa_Subete_wo_Parry_suru__Gyaku_Kanchigai_no_Sekai_Saikyou_wa_Boukensha_ni_Naritai
57947,,,,,,,,,,"Honma, Shuu:Director","Kotobuki, Tsukasa:Original Character Design","Arima, Ryouta:Character Design","Shirasaka, Hideaki:Series Composition",Mayonaka Punch,N/A,#9315,"3,684",0,0,0,"['Honma, Shuu', 'Director'], ['Kotobuki, Tsukasa', 'Original Character Design'], ['Arima, Ryouta', 'Character Design'], ['Shirasaka, Hideaki', 'Series Composition']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
P.A. Works","Source, 
  Original","Genre, 
ComedyComedy","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9315",
56348,,,,,,,,,,"Yamai, Sayaka:Director","Futami, Sui:Original Creator","Takeuchi, Toshimitsu:Series Composition","Nakayama, Hiromi:Character Design",Dungeon no Naka no Hito,N/A,#9606,"3,355",0,0,0,"['Yamai, Sayaka', 'Director'], ['Futami, Sui', 'Original Creator'], ['Takeuchi, Toshimitsu', 'Series Composition'], ['Nakayama, Hiromi', 'Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
OLM","Source, 
  Web manga","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #9606",Adaptation:: /manga/136528/Dungeon_no_Naka_no_Hito
54730,,,,,,,,,,"Kuroki, Rui:Producer","Satou, Akira:Director","Imaizumi, Yuuichi:Sound Director","Takanashi, Yasuharu:Music",Kinnikuman: Kanpeki Chоujin Shiso-hen,N/A,#10990,"2,146",0,0,0,"['Kuroki, Rui', 'Producer'], ['Satou, Akira', 'Director'], ['Imaizumi, Yuuichi', 'Sound Director'], ['Takanashi, Yasuharu', 'Music']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Production I.G","Source, 
  Manga","Genres, 
ComedyComedy,         SportsSports","Theme, 
Combat SportsCombat Sports","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/2845/Kinnikuman, Sequel:: /anime/1707/Kinnikuman_II_Sei, Prequel:: /anime/3281/Kinnikuman__Kinnikusei_Oui_Soudatsu-hen"
57325,,,,,,,,,,"Shimizu, Hisatoshi:Director","Maeda, Akane:Sound Director","Kubo, Tooru:Script",Suiyoubi no Campanella:Theme Song Performance,Ramen Akaneko,N/A,#11620,"1,739",0,0,0,"['Shimizu, Hisatoshi', 'Director'], ['Maeda, Akane', 'Sound Director'], ['Kubo, Tooru', 'Script'], ['Suiyoubi no Campanella', 'Theme Song Performance']","Episodes, 
  12","Status, 
  Not yet aired","Aired, 
  Jul 4, 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
E&H Production","Source, 
  Manga","Genre, 
ComedyComedy","Themes, 
AnthropomorphicAnthropomorphic,         WorkplaceWorkplace","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/154933/Ramen_Akaneko
54143,,,,,,,,,,,,,,Cardfight!! Vanguard: Divinez Season 2,N/A,#16269,470,0,0,0,,"Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Studios, 
    None found, add some","Source, 
  Original","Genre, 
ActionAction","Theme, 
Strategy GameStrategy Game","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #16269","Prequel:: /anime/54142/Cardfight_Vanguard__Divinez, Sequel:: /anime/54144/Cardfight_Vanguard__D_Series_Season_8"
58506,,,,,,,,,,,,,,Harimaware! Koinu 2nd Season,N/A,#23553,84,0,0,0,,"Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
    None found, add some","Source, 
  Web manga","Genre, 
ComedyComedy","Theme, 
AnthropomorphicAnthropomorphic","Duration, 
  Unknown","Rating, 
  G - All Ages","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Adaptation:: /manga/162774/Harimaware_Koinu, Prequel:: /anime/57012/Harimaware_Koinu"
56196,,,,,,,,,,"Okamura, Tensai:Director","Horikoshi, Kouhei:Original Character Design","Hayashi, Yuuki:Music","Umakoshi, Yoshihiko:Character Design",Boku no Hero Academia the Movie 4: You're Next,N/A,#3508,"39,692",0,0,0,"['Okamura, Tensai', 'Director'], ['Horikoshi, Kouhei', 'Original Character Design'], ['Hayashi, Yuuki', 'Music'], ['Umakoshi, Yoshihiko', 'Character Design']","Episodes, 
  1","Status, 
  Not yet aired","Aired, 
  Aug 2, 2024","Producers, 
    None found, add some","Source, 
  Manga","Genre, 
ActionAction","Themes, 
SchoolSchool,         Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #3508","Adaptation:: /manga/75989/Boku_no_Hero_Academia, Other:: /anime/49918/Boku_no_Hero_Academia_6th_Season"
52107,,,,,,,,,,"Satou, Kimiaki:Producer","Sudoku, Yuuki:Producer","Nakamura, Kenji:Director","Nagasaki, Yukio:Sound Director",Mononoke Movie: Karakasa,N/A,#5059,"17,903",0,0,0,"['Satou, Kimiaki', 'Producer'], ['Sudoku, Yuuki', 'Producer'], ['Nakamura, Kenji', 'Director'], ['Nagasaki, Yukio', 'Sound Director']","Episodes, 
  1","Status, 
  Not yet aired","Aired, 
  Jul 26, 2024","Producers, 
Twin Engine","Source, 
  Original","Genres, 
HorrorHorror,         MysteryMystery,         SupernaturalSupernatural,         SuspenseSuspense","Themes, 
Adult CastAdult Cast,         HistoricalHistorical,         MythologyMythology,         PsychologicalPsychological","Duration, 
  Unknown","Rating, 
  R - 17+ (violence & profanity)","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5059","Members, 
    17,903",Alternative version:: /anime/2246/Mononoke
53747,,,,,,,,,,"Yamada, Naoko:Director","Ushio, Kensuke:Music","Yoshida, Reiko:Screenplay","Kojima, Takashi:Animation Director",Kimi no Iro,N/A,#6786,"8,512",0,0,0,"['Yamada, Naoko', 'Director'], ['Ushio, Kensuke', 'Music'], ['Yoshida, Reiko', 'Screenplay'], ['Kojima, Takashi', 'Animation Director']","Episodes, 
  1","Status, 
  Not yet aired","Aired, 
  Aug 30, 2024","Producers, 
TOHO,       STORY","Source, 
  Original","Genre, 
DramaDrama","Theme, 
MusicMusic","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #6786","Members, 
    8,512",
55748,,,,,,,,,,"Kawamura, Tomoyuki:Director","Nagasaki, Yukio:Sound Director","Yatate, Hajime:Original Creator","Kimino, Sakurako:Original Creator",Love Live! Nijigasaki Gakuen School Idol Doukoukai Kanketsu-hen,N/A,#8655,"4,644",0,0,0,"['Kawamura, Tomoyuki', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Yatate, Hajime', 'Original Creator'], ['Kimino, Sakurako', 'Original Creator']","Episodes, 
  3","Status, 
  Not yet aired","Aired, 
  Sep 6, 2024 to ?","Producers, 
Lantis,       Shochiku,       Bandai Namco Filmworks","Source, 
  Original","Genre, 
Slice of LifeSlice of Life","Themes, 
Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8655","Members, 
    4,644","Other:: /anime/40879/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai, Prequel:: /anime/53671/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Next_Sky"
50855,,,,,,,,,,"Yamato, Naomichi:Director","Fukui, Harutoshi:Director","Yoshida, Tomohiro:Sound Director","Yuuki, Nobuteru:Character Design","Yamato yo, Towa ni: Rebel 3199",N/A,#11063,"2,099",0,0,0,"['Yamato, Naomichi', 'Director'], ['Fukui, Harutoshi', 'Director'], ['Yoshida, Tomohiro', 'Sound Director'], ['Yuuki, Nobuteru', 'Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 19, 2024 to ?","Producers, 
Satelight,       Shochiku","Source, 
  Original","Genres, 
ActionAction,         DramaDrama,         Sci-FiSci-Fi","Themes, 
Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #11063","Members, 
    2,099","Alternative version:: /anime/3069/Yamato_yo_Towa_ni, Prequel:: /anime/40389/Uchuu_Senkan_Yamato_2205__Aratanaru_Tabidachi"
58462,,,,,,,,,,"Toudou, Izumi:Original Creator",,,,Wonderful Precure! Movie,N/A,#14329,764,0,0,0,"['Toudou, Izumi', 'Original Creator']","Status, 
  Not yet aired","Aired, 
  Sep 13, 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genres, 
ActionAction,         FantasyFantasy","Theme, 
Mahou ShoujoMahou Shoujo","Duration, 
  Unknown","Rating, 
  G - All Ages","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14329","Members, 
    764","Favorites, 
  1",Parent story:: /anime/57390/Wonderful_Precure
54603,,,,,,,,,,,,,,Bakeneko Anzu-chan,N/A,#14372,754,0,0,0,,"Episodes, 
  1","Status, 
  Not yet aired","Aired, 
  Jul 2024","Producers, 
    None found, add some","Source, 
  Manga","Genre, 
FantasyFantasy","Demographic, 
ShounenShounen","Duration, 
  1 hr. 30 min.","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14372","Members, 
    754",
57801,,,,,,,,,,,,,,Bai She 3: Fusheng,N/A,#14794,664,0,0,0,,"Status, 
  Not yet aired","Aired, 
  Aug 10, 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
Martial ArtsMartial Arts,         MythologyMythology","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #14794","Members, 
    664","Favorites, 
  0",Prequel:: /anime/49409/Bai_She_II__Qing_She_Jie_Qi
57499,,,,,,,,,,,,,,Crayon Shin-chan Movie 32: Ora-tachi no Kyouyuu Nikki,N/A,#15606,541,0,0,0,,"Status, 
  Not yet aired","Aired, 
  Aug 9, 2024","Producers, 
    None found, add some","Licensors, 
    None found, add some","Genres, 
AdventureAdventure,         ComedyComedy","Demographic, 
SeinenSeinen","Duration, 
  Unknown","Rating, 
  G - All Ages","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #15606","Members, 
    541","Favorites, 
  3","Parent story:: /anime/966/Crayon_Shin-chan, Prequel:: /anime/53810/Crayon_Shin-chan_Movie_31__Chounouryoku_Daikessen_-_Tobe_Tobe_Temakizushi"
